PATH,NODE,ACCESS,BUILT-IN-TYPE,DERIVED-TYPE,AUGMENT,CONSTRAINTS,NOTES
arista/eos/mlag/config/heartbeat-interval,leaf,read+write,union,heartbeat-intvl-type,,,
arista/eos/mlag/config/lacp-standby,leaf,read+write,boolean,,,,
arista/eos/mlag/config/local-intf,leaf,read+write,string,eos-types:Arnet-IntfId,,,
arista/eos/mlag/config/peer-address,leaf,read+write,string,inet:ipv4-address,,,
arista/eos/mlag/config/peer-link-intf,leaf,read+write,string,eos-types:Arnet-IntfId,,,
arista/eos/mlag/config/reload-delay,leaf,read+write,union,reload-delay-type,,,
arista/eos/mlag/config/reload-delay-mlag-configured,leaf,read+write,boolean,,,,
arista/eos/mlag/config/reload-delay-non-mlag,leaf,read+write,union,reload-delay-type,,,
arista/eos/mlag/config/heartbeat-peer-address/address,leaf,read+write,string,inet:ipv4-address,,,
arista/eos/mlag/config/heartbeat-peer-address/vrf,leaf,read+write,string,,,,
arista/eos/qos/acl/input/cli/cmapType/type,leaf,read+write,enumeration,qos-acl-config-exp:Qos-MapType,,,
arista/eos/qos/acl/input/cli/cmapType/cmap/matchCondition,leaf,read+write,enumeration,qos-acl-config-exp:Qos-ClassMapMatchCondition,,,
